24
Src,Dest,Latency (ns),Bandwidth (GB/s)
0,1,500,1
1,0,500,1
1,2,500,1
2,1,500,1
2,3,500,25
3,2,500,25
3,4,500,1
4,3,500,1
4,5,500,1
5,4,500,1
5,6,500,1
6,5,500,1
6,7,500,1
7,6,500,1
7,8,500,1
8,7,500,1
8,9,500,1
9,8,500,1
9,10,500,25
10,9,500,25
10,11,500,1
11,10,500,1
11,12,500,1
12,11,500,1
12,13,500,1
13,12,500,1
13,14,500,25
14,13,500,25
14,15,500,1
15,14,500,1
15,16,500,1
16,15,500,1
16,17,500,25
17,16,500,25
17,18,500,1
18,17,500,1
18,19,500,1
19,18,500,1
19,20,500,1
20,19,500,1
20,21,500,1
21,20,500,1
21,22,500,1
22,21,500,1
22,23,500,1
23,22,500,1
23,0,500,1
0,23,500,1
