48
Src,Dest,Latency (ns),Bandwidth (GB/s)
0,1,500,1
1,0,500,1
1,2,500,1
2,1,500,1
2,3,500,25
3,2,500,25
3,4,500,1
4,3,500,1
4,5,500,25
5,4,500,25
5,6,500,1
6,5,500,1
6,7,500,25
7,6,500,25
7,8,500,1
8,7,500,1
8,9,500,25
9,8,500,25
9,10,500,25
10,9,500,25
10,11,500,1
11,10,500,1
11,12,500,1
12,11,500,1
12,13,500,25
13,12,500,25
13,14,500,25
14,13,500,25
14,15,500,1
15,14,500,1
15,16,500,1
16,15,500,1
16,17,500,25
17,16,500,25
17,18,500,25
18,17,500,25
18,19,500,25
19,18,500,25
19,20,500,1
20,19,500,1
20,21,500,1
21,20,500,1
21,22,500,25
22,21,500,25
22,23,500,1
23,22,500,1
23,24,500,1
24,23,500,1
24,25,500,1
25,24,500,1
25,26,500,1
26,25,500,1
26,27,500,1
27,26,500,1
27,28,500,1
28,27,500,1
28,29,500,1
29,28,500,1
29,30,500,1
30,29,500,1
30,31,500,1
31,30,500,1
31,32,500,1
32,31,500,1
32,33,500,1
33,32,500,1
33,34,500,25
34,33,500,25
34,35,500,1
35,34,500,1
35,36,500,25
36,35,500,25
36,37,500,1
37,36,500,1
37,38,500,25
38,37,500,25
38,39,500,1
39,38,500,1
39,40,500,1
40,39,500,1
40,41,500,1
41,40,500,1
41,42,500,25
42,41,500,25
42,43,500,1
43,42,500,1
43,44,500,25
44,43,500,25
44,45,500,1
45,44,500,1
45,46,500,25
46,45,500,25
46,47,500,25
47,46,500,25
47,0,500,25
0,47,500,25
