40
Src,Dest,Latency (ns),Bandwidth (GB/s)
0,1,500,50
1,0,500,50
1,2,500,1
2,1,500,1
2,3,500,1
3,2,500,1
3,4,500,1
4,3,500,1
4,5,500,1
5,4,500,1
5,6,500,1
6,5,500,1
6,7,500,50
7,6,500,50
7,8,500,1
8,7,500,1
8,9,500,1
9,8,500,1
9,10,500,1
10,9,500,1
10,11,500,1
11,10,500,1
11,12,500,1
12,11,500,1
12,13,500,1
13,12,500,1
13,14,500,1
14,13,500,1
14,15,500,1
15,14,500,1
15,16,500,1
16,15,500,1
16,17,500,1
17,16,500,1
17,18,500,1
18,17,500,1
18,19,500,1
19,18,500,1
19,20,500,1
20,19,500,1
20,21,500,1
21,20,500,1
21,22,500,1
22,21,500,1
22,23,500,1
23,22,500,1
23,24,500,1
24,23,500,1
24,25,500,1
25,24,500,1
25,26,500,50
26,25,500,50
26,27,500,50
27,26,500,50
27,28,500,50
28,27,500,50
28,29,500,1
29,28,500,1
29,30,500,1
30,29,500,1
30,31,500,50
31,30,500,50
31,32,500,1
32,31,500,1
32,33,500,50
33,32,500,50
33,34,500,1
34,33,500,1
34,35,500,1
35,34,500,1
35,36,500,1
36,35,500,1
36,37,500,50
37,36,500,50
37,38,500,1
38,37,500,1
38,39,500,1
39,38,500,1
39,0,500,1
0,39,500,1
