8
Src,Dest,Latency (ns),Bandwidth (GB/s)
0,1,500,50
1,0,500,50
1,2,500,50
2,1,500,50
2,3,500,50
3,2,500,50
3,4,500,50
4,3,500,50
4,5,500,50
5,4,500,50
5,6,500,50
6,5,500,50
6,7,500,50
7,6,500,50
7,0,500,50
0,7,500,50
0,2,500,2.0
2,0,500,2.0
0,3,500,2.0
3,0,500,2.0
0,4,500,2.0
4,0,500,2.0
0,5,500,2.0
5,0,500,2.0
0,6,500,2.0
6,0,500,2.0
0,7,500,2.0
7,0,500,2.0
1,3,500,2.0
3,1,500,2.0
1,4,500,2.0
4,1,500,2.0
1,5,500,2.0
5,1,500,2.0
1,6,500,2.0
6,1,500,2.0
1,7,500,2.0
7,1,500,2.0
2,0,500,2.0
0,2,500,2.0
2,4,500,2.0
4,2,500,2.0
2,5,500,2.0
5,2,500,2.0
2,6,500,2.0
6,2,500,2.0
2,7,500,2.0
7,2,500,2.0
3,0,500,2.0
0,3,500,2.0
3,1,500,2.0
1,3,500,2.0
3,5,500,2.0
5,3,500,2.0
3,6,500,2.0
6,3,500,2.0
3,7,500,2.0
7,3,500,2.0
4,0,500,2.0
0,4,500,2.0
4,1,500,2.0
1,4,500,2.0
4,2,500,2.0
2,4,500,2.0
4,6,500,2.0
6,4,500,2.0
4,7,500,2.0
7,4,500,2.0
5,0,500,2.0
0,5,500,2.0
5,1,500,2.0
1,5,500,2.0
5,2,500,2.0
2,5,500,2.0
5,3,500,2.0
3,5,500,2.0
5,7,500,2.0
7,5,500,2.0
6,0,500,2.0
0,6,500,2.0
6,1,500,2.0
1,6,500,2.0
6,2,500,2.0
2,6,500,2.0
6,3,500,2.0
3,6,500,2.0
6,4,500,2.0
4,6,500,2.0
7,0,500,2.0
0,7,500,2.0
7,1,500,2.0
1,7,500,2.0
7,2,500,2.0
2,7,500,2.0
7,3,500,2.0
3,7,500,2.0
7,4,500,2.0
4,7,500,2.0
7,5,500,2.0
5,7,500,2.0
