24
Src,Dest,Latency (ns),Bandwidth (GB/s)
0,1,500,50
1,0,500,50
1,2,500,50
2,1,500,50
2,3,500,50
3,2,500,50
3,4,500,50
4,3,500,50
4,5,500,50
5,4,500,50
5,6,500,50
6,5,500,50
6,7,500,50
7,6,500,50
7,8,500,50
8,7,500,50
8,9,500,50
9,8,500,50
9,10,500,50
10,9,500,50
10,11,500,50
11,10,500,50
11,12,500,50
12,11,500,50
12,13,500,50
13,12,500,50
13,14,500,50
14,13,500,50
14,15,500,50
15,14,500,50
15,16,500,50
16,15,500,50
16,17,500,50
17,16,500,50
17,18,500,50
18,17,500,50
18,19,500,50
19,18,500,50
19,20,500,50
20,19,500,50
20,21,500,50
21,20,500,50
21,22,500,50
22,21,500,50
22,23,500,50
23,22,500,50
23,0,500,50
0,23,500,50
0,2,500,5.0
2,0,500,5.0
0,3,500,5.0
3,0,500,5.0
0,4,500,5.0
4,0,500,5.0
0,5,500,5.0
5,0,500,5.0
0,6,500,5.0
6,0,500,5.0
0,7,500,5.0
7,0,500,5.0
0,8,500,5.0
8,0,500,5.0
0,9,500,5.0
9,0,500,5.0
0,10,500,5.0
10,0,500,5.0
0,11,500,5.0
11,0,500,5.0
0,12,500,5.0
12,0,500,5.0
0,13,500,5.0
13,0,500,5.0
0,14,500,5.0
14,0,500,5.0
0,15,500,5.0
15,0,500,5.0
0,16,500,5.0
16,0,500,5.0
0,17,500,5.0
17,0,500,5.0
0,18,500,5.0
18,0,500,5.0
0,19,500,5.0
19,0,500,5.0
0,20,500,5.0
20,0,500,5.0
0,21,500,5.0
21,0,500,5.0
0,22,500,5.0
22,0,500,5.0
0,23,500,5.0
23,0,500,5.0
1,3,500,5.0
3,1,500,5.0
1,4,500,5.0
4,1,500,5.0
1,5,500,5.0
5,1,500,5.0
1,6,500,5.0
6,1,500,5.0
1,7,500,5.0
7,1,500,5.0
1,8,500,5.0
8,1,500,5.0
1,9,500,5.0
9,1,500,5.0
1,10,500,5.0
10,1,500,5.0
1,11,500,5.0
11,1,500,5.0
1,12,500,5.0
12,1,500,5.0
1,13,500,5.0
13,1,500,5.0
1,14,500,5.0
14,1,500,5.0
1,15,500,5.0
15,1,500,5.0
1,16,500,5.0
16,1,500,5.0
1,17,500,5.0
17,1,500,5.0
1,18,500,5.0
18,1,500,5.0
1,19,500,5.0
19,1,500,5.0
1,20,500,5.0
20,1,500,5.0
1,21,500,5.0
21,1,500,5.0
1,22,500,5.0
22,1,500,5.0
1,23,500,5.0
23,1,500,5.0
2,0,500,5.0
0,2,500,5.0
2,4,500,5.0
4,2,500,5.0
2,5,500,5.0
5,2,500,5.0
2,6,500,5.0
6,2,500,5.0
2,7,500,5.0
7,2,500,5.0
2,8,500,5.0
8,2,500,5.0
2,9,500,5.0
9,2,500,5.0
2,10,500,5.0
10,2,500,5.0
2,11,500,5.0
11,2,500,5.0
2,12,500,5.0
12,2,500,5.0
2,13,500,5.0
13,2,500,5.0
2,14,500,5.0
14,2,500,5.0
2,15,500,5.0
15,2,500,5.0
2,16,500,5.0
16,2,500,5.0
2,17,500,5.0
17,2,500,5.0
2,18,500,5.0
18,2,500,5.0
2,19,500,5.0
19,2,500,5.0
2,20,500,5.0
20,2,500,5.0
2,21,500,5.0
21,2,500,5.0
2,22,500,5.0
22,2,500,5.0
2,23,500,5.0
23,2,500,5.0
3,0,500,5.0
0,3,500,5.0
3,1,500,5.0
1,3,500,5.0
3,5,500,5.0
5,3,500,5.0
3,6,500,5.0
6,3,500,5.0
3,7,500,5.0
7,3,500,5.0
3,8,500,5.0
8,3,500,5.0
3,9,500,5.0
9,3,500,5.0
3,10,500,5.0
10,3,500,5.0
3,11,500,5.0
11,3,500,5.0
3,12,500,5.0
12,3,500,5.0
3,13,500,5.0
13,3,500,5.0
3,14,500,5.0
14,3,500,5.0
3,15,500,5.0
15,3,500,5.0
3,16,500,5.0
16,3,500,5.0
3,17,500,5.0
17,3,500,5.0
3,18,500,5.0
18,3,500,5.0
3,19,500,5.0
19,3,500,5.0
3,20,500,5.0
20,3,500,5.0
3,21,500,5.0
21,3,500,5.0
3,22,500,5.0
22,3,500,5.0
3,23,500,5.0
23,3,500,5.0
4,0,500,5.0
0,4,500,5.0
4,1,500,5.0
1,4,500,5.0
4,2,500,5.0
2,4,500,5.0
4,6,500,5.0
6,4,500,5.0
4,7,500,5.0
7,4,500,5.0
4,8,500,5.0
8,4,500,5.0
4,9,500,5.0
9,4,500,5.0
4,10,500,5.0
10,4,500,5.0
4,11,500,5.0
11,4,500,5.0
4,12,500,5.0
12,4,500,5.0
4,13,500,5.0
13,4,500,5.0
4,14,500,5.0
14,4,500,5.0
4,15,500,5.0
15,4,500,5.0
4,16,500,5.0
16,4,500,5.0
4,17,500,5.0
17,4,500,5.0
4,18,500,5.0
18,4,500,5.0
4,19,500,5.0
19,4,500,5.0
4,20,500,5.0
20,4,500,5.0
4,21,500,5.0
21,4,500,5.0
4,22,500,5.0
22,4,500,5.0
4,23,500,5.0
23,4,500,5.0
5,0,500,5.0
0,5,500,5.0
5,1,500,5.0
1,5,500,5.0
5,2,500,5.0
2,5,500,5.0
5,3,500,5.0
3,5,500,5.0
5,7,500,5.0
7,5,500,5.0
5,8,500,5.0
8,5,500,5.0
5,9,500,5.0
9,5,500,5.0
5,10,500,5.0
10,5,500,5.0
5,11,500,5.0
11,5,500,5.0
5,12,500,5.0
12,5,500,5.0
5,13,500,5.0
13,5,500,5.0
5,14,500,5.0
14,5,500,5.0
5,15,500,5.0
15,5,500,5.0
5,16,500,5.0
16,5,500,5.0
5,17,500,5.0
17,5,500,5.0
5,18,500,5.0
18,5,500,5.0
5,19,500,5.0
19,5,500,5.0
5,20,500,5.0
20,5,500,5.0
5,21,500,5.0
21,5,500,5.0
5,22,500,5.0
22,5,500,5.0
5,23,500,5.0
23,5,500,5.0
6,0,500,5.0
0,6,500,5.0
6,1,500,5.0
1,6,500,5.0
6,2,500,5.0
2,6,500,5.0
6,3,500,5.0
3,6,500,5.0
6,4,500,5.0
4,6,500,5.0
6,8,500,5.0
8,6,500,5.0
6,9,500,5.0
9,6,500,5.0
6,10,500,5.0
10,6,500,5.0
6,11,500,5.0
11,6,500,5.0
6,12,500,5.0
12,6,500,5.0
6,13,500,5.0
13,6,500,5.0
6,14,500,5.0
14,6,500,5.0
6,15,500,5.0
15,6,500,5.0
6,16,500,5.0
16,6,500,5.0
6,17,500,5.0
17,6,500,5.0
6,18,500,5.0
18,6,500,5.0
6,19,500,5.0
19,6,500,5.0
6,20,500,5.0
20,6,500,5.0
6,21,500,5.0
21,6,500,5.0
6,22,500,5.0
22,6,500,5.0
6,23,500,5.0
23,6,500,5.0
7,0,500,5.0
0,7,500,5.0
7,1,500,5.0
1,7,500,5.0
7,2,500,5.0
2,7,500,5.0
7,3,500,5.0
3,7,500,5.0
7,4,500,5.0
4,7,500,5.0
7,5,500,5.0
5,7,500,5.0
7,9,500,5.0
9,7,500,5.0
7,10,500,5.0
10,7,500,5.0
7,11,500,5.0
11,7,500,5.0
7,12,500,5.0
12,7,500,5.0
7,13,500,5.0
13,7,500,5.0
7,14,500,5.0
14,7,500,5.0
7,15,500,5.0
15,7,500,5.0
7,16,500,5.0
16,7,500,5.0
7,17,500,5.0
17,7,500,5.0
7,18,500,5.0
18,7,500,5.0
7,19,500,5.0
19,7,500,5.0
7,20,500,5.0
20,7,500,5.0
7,21,500,5.0
21,7,500,5.0
7,22,500,5.0
22,7,500,5.0
7,23,500,5.0
23,7,500,5.0
8,0,500,5.0
0,8,500,5.0
8,1,500,5.0
1,8,500,5.0
8,2,500,5.0
2,8,500,5.0
8,3,500,5.0
3,8,500,5.0
8,4,500,5.0
4,8,500,5.0
8,5,500,5.0
5,8,500,5.0
8,6,500,5.0
6,8,500,5.0
8,10,500,5.0
10,8,500,5.0
8,11,500,5.0
11,8,500,5.0
8,12,500,5.0
12,8,500,5.0
8,13,500,5.0
13,8,500,5.0
8,14,500,5.0
14,8,500,5.0
8,15,500,5.0
15,8,500,5.0
8,16,500,5.0
16,8,500,5.0
8,17,500,5.0
17,8,500,5.0
8,18,500,5.0
18,8,500,5.0
8,19,500,5.0
19,8,500,5.0
8,20,500,5.0
20,8,500,5.0
8,21,500,5.0
21,8,500,5.0
8,22,500,5.0
22,8,500,5.0
8,23,500,5.0
23,8,500,5.0
9,0,500,5.0
0,9,500,5.0
9,1,500,5.0
1,9,500,5.0
9,2,500,5.0
2,9,500,5.0
9,3,500,5.0
3,9,500,5.0
9,4,500,5.0
4,9,500,5.0
9,5,500,5.0
5,9,500,5.0
9,6,500,5.0
6,9,500,5.0
9,7,500,5.0
7,9,500,5.0
9,11,500,5.0
11,9,500,5.0
9,12,500,5.0
12,9,500,5.0
9,13,500,5.0
13,9,500,5.0
9,14,500,5.0
14,9,500,5.0
9,15,500,5.0
15,9,500,5.0
9,16,500,5.0
16,9,500,5.0
9,17,500,5.0
17,9,500,5.0
9,18,500,5.0
18,9,500,5.0
9,19,500,5.0
19,9,500,5.0
9,20,500,5.0
20,9,500,5.0
9,21,500,5.0
21,9,500,5.0
9,22,500,5.0
22,9,500,5.0
9,23,500,5.0
23,9,500,5.0
10,0,500,5.0
0,10,500,5.0
10,1,500,5.0
1,10,500,5.0
10,2,500,5.0
2,10,500,5.0
10,3,500,5.0
3,10,500,5.0
10,4,500,5.0
4,10,500,5.0
10,5,500,5.0
5,10,500,5.0
10,6,500,5.0
6,10,500,5.0
10,7,500,5.0
7,10,500,5.0
10,8,500,5.0
8,10,500,5.0
10,12,500,5.0
12,10,500,5.0
10,13,500,5.0
13,10,500,5.0
10,14,500,5.0
14,10,500,5.0
10,15,500,5.0
15,10,500,5.0
10,16,500,5.0
16,10,500,5.0
10,17,500,5.0
17,10,500,5.0
10,18,500,5.0
18,10,500,5.0
10,19,500,5.0
19,10,500,5.0
10,20,500,5.0
20,10,500,5.0
10,21,500,5.0
21,10,500,5.0
10,22,500,5.0
22,10,500,5.0
10,23,500,5.0
23,10,500,5.0
11,0,500,5.0
0,11,500,5.0
11,1,500,5.0
1,11,500,5.0
11,2,500,5.0
2,11,500,5.0
11,3,500,5.0
3,11,500,5.0
11,4,500,5.0
4,11,500,5.0
11,5,500,5.0
5,11,500,5.0
11,6,500,5.0
6,11,500,5.0
11,7,500,5.0
7,11,500,5.0
11,8,500,5.0
8,11,500,5.0
11,9,500,5.0
9,11,500,5.0
11,13,500,5.0
13,11,500,5.0
11,14,500,5.0
14,11,500,5.0
11,15,500,5.0
15,11,500,5.0
11,16,500,5.0
16,11,500,5.0
11,17,500,5.0
17,11,500,5.0
11,18,500,5.0
18,11,500,5.0
11,19,500,5.0
19,11,500,5.0
11,20,500,5.0
20,11,500,5.0
11,21,500,5.0
21,11,500,5.0
11,22,500,5.0
22,11,500,5.0
11,23,500,5.0
23,11,500,5.0
12,0,500,5.0
0,12,500,5.0
12,1,500,5.0
1,12,500,5.0
12,2,500,5.0
2,12,500,5.0
12,3,500,5.0
3,12,500,5.0
12,4,500,5.0
4,12,500,5.0
12,5,500,5.0
5,12,500,5.0
12,6,500,5.0
6,12,500,5.0
12,7,500,5.0
7,12,500,5.0
12,8,500,5.0
8,12,500,5.0
12,9,500,5.0
9,12,500,5.0
12,10,500,5.0
10,12,500,5.0
12,14,500,5.0
14,12,500,5.0
12,15,500,5.0
15,12,500,5.0
12,16,500,5.0
16,12,500,5.0
12,17,500,5.0
17,12,500,5.0
12,18,500,5.0
18,12,500,5.0
12,19,500,5.0
19,12,500,5.0
12,20,500,5.0
20,12,500,5.0
12,21,500,5.0
21,12,500,5.0
12,22,500,5.0
22,12,500,5.0
12,23,500,5.0
23,12,500,5.0
13,0,500,5.0
0,13,500,5.0
13,1,500,5.0
1,13,500,5.0
13,2,500,5.0
2,13,500,5.0
13,3,500,5.0
3,13,500,5.0
13,4,500,5.0
4,13,500,5.0
13,5,500,5.0
5,13,500,5.0
13,6,500,5.0
6,13,500,5.0
13,7,500,5.0
7,13,500,5.0
13,8,500,5.0
8,13,500,5.0
13,9,500,5.0
9,13,500,5.0
13,10,500,5.0
10,13,500,5.0
13,11,500,5.0
11,13,500,5.0
13,15,500,5.0
15,13,500,5.0
13,16,500,5.0
16,13,500,5.0
13,17,500,5.0
17,13,500,5.0
13,18,500,5.0
18,13,500,5.0
13,19,500,5.0
19,13,500,5.0
13,20,500,5.0
20,13,500,5.0
13,21,500,5.0
21,13,500,5.0
13,22,500,5.0
22,13,500,5.0
13,23,500,5.0
23,13,500,5.0
14,0,500,5.0
0,14,500,5.0
14,1,500,5.0
1,14,500,5.0
14,2,500,5.0
2,14,500,5.0
14,3,500,5.0
3,14,500,5.0
14,4,500,5.0
4,14,500,5.0
14,5,500,5.0
5,14,500,5.0
14,6,500,5.0
6,14,500,5.0
14,7,500,5.0
7,14,500,5.0
14,8,500,5.0
8,14,500,5.0
14,9,500,5.0
9,14,500,5.0
14,10,500,5.0
10,14,500,5.0
14,11,500,5.0
11,14,500,5.0
14,12,500,5.0
12,14,500,5.0
14,16,500,5.0
16,14,500,5.0
14,17,500,5.0
17,14,500,5.0
14,18,500,5.0
18,14,500,5.0
14,19,500,5.0
19,14,500,5.0
14,20,500,5.0
20,14,500,5.0
14,21,500,5.0
21,14,500,5.0
14,22,500,5.0
22,14,500,5.0
14,23,500,5.0
23,14,500,5.0
15,0,500,5.0
0,15,500,5.0
15,1,500,5.0
1,15,500,5.0
15,2,500,5.0
2,15,500,5.0
15,3,500,5.0
3,15,500,5.0
15,4,500,5.0
4,15,500,5.0
15,5,500,5.0
5,15,500,5.0
15,6,500,5.0
6,15,500,5.0
15,7,500,5.0
7,15,500,5.0
15,8,500,5.0
8,15,500,5.0
15,9,500,5.0
9,15,500,5.0
15,10,500,5.0
10,15,500,5.0
15,11,500,5.0
11,15,500,5.0
15,12,500,5.0
12,15,500,5.0
15,13,500,5.0
13,15,500,5.0
15,17,500,5.0
17,15,500,5.0
15,18,500,5.0
18,15,500,5.0
15,19,500,5.0
19,15,500,5.0
15,20,500,5.0
20,15,500,5.0
15,21,500,5.0
21,15,500,5.0
15,22,500,5.0
22,15,500,5.0
15,23,500,5.0
23,15,500,5.0
16,0,500,5.0
0,16,500,5.0
16,1,500,5.0
1,16,500,5.0
16,2,500,5.0
2,16,500,5.0
16,3,500,5.0
3,16,500,5.0
16,4,500,5.0
4,16,500,5.0
16,5,500,5.0
5,16,500,5.0
16,6,500,5.0
6,16,500,5.0
16,7,500,5.0
7,16,500,5.0
16,8,500,5.0
8,16,500,5.0
16,9,500,5.0
9,16,500,5.0
16,10,500,5.0
10,16,500,5.0
16,11,500,5.0
11,16,500,5.0
16,12,500,5.0
12,16,500,5.0
16,13,500,5.0
13,16,500,5.0
16,14,500,5.0
14,16,500,5.0
16,18,500,5.0
18,16,500,5.0
16,19,500,5.0
19,16,500,5.0
16,20,500,5.0
