48
Src,Dest,Latency (ns),Bandwidth (GB/s)
0,1,500,50
1,0,500,50
1,2,500,50
2,1,500,50
2,3,500,50
3,2,500,50
3,4,500,50
4,3,500,50
4,5,500,50
5,4,500,50
5,6,500,50
6,5,500,50
6,7,500,50
7,6,500,50
7,8,500,50
8,7,500,50
8,9,500,50
9,8,500,50
9,10,500,50
10,9,500,50
10,11,500,50
11,10,500,50
11,12,500,50
12,11,500,50
12,13,500,50
13,12,500,50
13,14,500,50
14,13,500,50
14,15,500,50
15,14,500,50
15,16,500,50
16,15,500,50
16,17,500,50
17,16,500,50
17,18,500,50
18,17,500,50
18,19,500,50
19,18,500,50
19,20,500,50
20,19,500,50
20,21,500,50
21,20,500,50
21,22,500,50
22,21,500,50
22,23,500,50
23,22,500,50
23,24,500,50
24,23,500,50
24,25,500,50
25,24,500,50
25,26,500,50
26,25,500,50
26,27,500,50
27,26,500,50
27,28,500,50
28,27,500,50
28,29,500,50
29,28,500,50
29,30,500,50
30,29,500,50
30,31,500,50
31,30,500,50
31,32,500,50
32,31,500,50
32,33,500,50
33,32,500,50
33,34,500,50
34,33,500,50
34,35,500,50
35,34,500,50
35,36,500,50
36,35,500,50
36,37,500,50
37,36,500,50
37,38,500,50
38,37,500,50
38,39,500,50
39,38,500,50
39,40,500,50
40,39,500,50
40,41,500,50
41,40,500,50
41,42,500,50
42,41,500,50
42,43,500,50
43,42,500,50
43,44,500,50
44,43,500,50
44,45,500,50
45,44,500,50
45,46,500,50
46,45,500,50
46,47,500,50
47,46,500,50
47,0,500,50
0,47,500,50
0,2,500,5.0
2,0,500,5.0
0,3,500,5.0
3,0,500,5.0
0,4,500,5.0
4,0,500,5.0
0,5,500,5.0
5,0,500,5.0
0,6,500,5.0
6,0,500,5.0
0,7,500,5.0
7,0,500,5.0
0,8,500,5.0
8,0,500,5.0
0,9,500,5.0
9,0,500,5.0
0,10,500,5.0
10,0,500,5.0
0,11,500,5.0
11,0,500,5.0
0,12,500,5.0
12,0,500,5.0
0,13,500,5.0
13,0,500,5.0
0,14,500,5.0
14,0,500,5.0
0,15,500,5.0
15,0,500,5.0
0,16,500,5.0
16,0,500,5.0
0,17,500,5.0
17,0,500,5.0
0,18,500,5.0
18,0,500,5.0
0,19,500,5.0
19,0,500,5.0
0,20,500,5.0
20,0,500,5.0
0,21,500,5.0
21,0,500,5.0
0,22,500,5.0
22,0,500,5.0
0,23,500,5.0
23,0,500,5.0
0,24,500,5.0
24,0,500,5.0
0,25,500,5.0
25,0,500,5.0
0,26,500,5.0
26,0,500,5.0
0,27,500,5.0
27,0,500,5.0
0,28,500,5.0
28,0,500,5.0
0,29,500,5.0
29,0,500,5.0
0,30,500,5.0
30,0,500,5.0
0,31,500,5.0
31,0,500,5.0
0,32,500,5.0
32,0,500,5.0
0,33,500,5.0
33,0,500,5.0
0,34,500,5.0
34,0,500,5.0
0,35,500,5.0
35,0,500,5.0
0,36,500,5.0
36,0,500,5.0
0,37,500,5.0
37,0,500,5.0
0,38,500,5.0
38,0,500,5.0
0,39,500,5.0
39,0,500,5.0
0,40,500,5.0
40,0,500,5.0
0,41,500,5.0
41,0,500,5.0
0,42,500,5.0
42,0,500,5.0
0,43,500,5.0
43,0,500,5.0
0,44,500,5.0
44,0,500,5.0
0,45,500,5.0
45,0,500,5.0
0,46,500,5.0
46,0,500,5.0
0,47,500,5.0
47,0,500,5.0
1,3,500,5.0
3,1,500,5.0
1,4,500,5.0
4,1,500,5.0
1,5,500,5.0
5,1,500,5.0
1,6,500,5.0
6,1,500,5.0
1,7,500,5.0
7,1,500,5.0
1,8,500,5.0
8,1,500,5.0
1,9,500,5.0
9,1,500,5.0
1,10,500,5.0
10,1,500,5.0
1,11,500,5.0
11,1,500,5.0
1,12,500,5.0
12,1,500,5.0
1,13,500,5.0
13,1,500,5.0
1,14,500,5.0
14,1,500,5.0
1,15,500,5.0
15,1,500,5.0
1,16,500,5.0
16,1,500,5.0
1,17,500,5.0
17,1,500,5.0
1,18,500,5.0
18,1,500,5.0
1,19,500,5.0
19,1,500,5.0
1,20,500,5.0
20,1,500,5.0
1,21,500,5.0
21,1,500,5.0
1,22,500,5.0
22,1,500,5.0
1,23,500,5.0
23,1,500,5.0
1,24,500,5.0
24,1,500,5.0
1,25,500,5.0
25,1,500,5.0
1,26,500,5.0
26,1,500,5.0
1,27,500,5.0
27,1,500,5.0
1,28,500,5.0
28,1,500,5.0
1,29,500,5.0
29,1,500,5.0
1,30,500,5.0
30,1,500,5.0
1,31,500,5.0
31,1,500,5.0
1,32,500,5.0
32,1,500,5.0
1,33,500,5.0
33,1,500,5.0
1,34,500,5.0
34,1,500,5.0
1,35,500,5.0
35,1,500,5.0
1,36,500,5.0
36,1,500,5.0
1,37,500,5.0
37,1,500,5.0
1,38,500,5.0
38,1,500,5.0
1,39,500,5.0
39,1,500,5.0
1,40,500,5.0
40,1,500,5.0
1,41,500,5.0
41,1,500,5.0
1,42,500,5.0
42,1,500,5.0
1,43,500,5.0
43,1,500,5.0
1,44,500,5.0
44,1,500,5.0
1,45,500,5.0
45,1,500,5.0
1,46,500,5.0
46,1,500,5.0
1,47,500,5.0
47,1,500,5.0
2,0,500,5.0
0,2,500,5.0
2,4,500,5.0
4,2,500,5.0
2,5,500,5.0
5,2,500,5.0
2,6,500,5.0
6,2,500,5.0
2,7,500,5.0
7,2,500,5.0
2,8,500,5.0
8,2,500,5.0
2,9,500,5.0
9,2,500,5.0
2,10,500,5.0
10,2,500,5.0
2,11,500,5.0
11,2,500,5.0
2,12,500,5.0
12,2,500,5.0
2,13,500,5.0
13,2,500,5.0
2,14,500,5.0
14,2,500,5.0
2,15,500,5.0
15,2,500,5.0
2,16,500,5.0
16,2,500,5.0
2,17,500,5.0
17,2,500,5.0
2,18,500,5.0
18,2,500,5.0
2,19,500,5.0
19,2,500,5.0
2,20,500,5.0
20,2,500,5.0
2,21,500,5.0
21,2,500,5.0
2,22,500,5.0
22,2,500,5.0
2,23,500,5.0
23,2,500,5.0
2,24,500,5.0
24,2,500,5.0
2,25,500,5.0
25,2,500,5.0
2,26,500,5.0
26,2,500,5.0
2,27,500,5.0
27,2,500,5.0
2,28,500,5.0
28,2,500,5.0
2,29,500,5.0
29,2,500,5.0
2,30,500,5.0
30,2,500,5.0
2,31,500,5.0
31,2,500,5.0
2,32,500,5.0
32,2,500,5.0
2,33,500,5.0
33,2,500,5.0
2,34,500,5.0
34,2,500,5.0
2,35,500,5.0
35,2,500,5.0
2,36,500,5.0
36,2,500,5.0
2,37,500,5.0
37,2,500,5.0
2,38,500,5.0
38,2,500,5.0
2,39,500,5.0
39,2,500,5.0
2,40,500,5.0
40,2,500,5.0
2,41,500,5.0
41,2,500,5.0
2,42,500,5.0
42,2,500,5.0
2,43,500,5.0
43,2,500,5.0
2,44,500,5.0
44,2,500,5.0
2,45,500,5.0
45,2,500,5.0
2,46,500,5.0
46,2,500,5.0
2,47,500,5.0
47,2,500,5.0
3,0,500,5.0
0,3,500,5.0
3,1,500,5.0
1,3,500,5.0
3,5,500,5.0
5,3,500,5.0
3,6,500,5.0
6,3,500,5.0
3,7,500,5.0
7,3,500,5.0
3,8,500,5.0
8,3,500,5.0
3,9,500,5.0
9,3,500,5.0
3,10,500,5.0
10,3,500,5.0
3,11,500,5.0
11,3,500,5.0
3,12,500,5.0
12,3,500,5.0
3,13,500,5.0
13,3,500,5.0
3,14,500,5.0
14,3,500,5.0
3,15,500,5.0
15,3,500,5.0
3,16,500,5.0
16,3,500,5.0
3,17,500,5.0
17,3,500,5.0
3,18,500,5.0
18,3,500,5.0
3,19,500,5.0
19,3,500,5.0
3,20,500,5.0
20,3,500,5.0
3,21,500,5.0
21,3,500,5.0
3,22,500,5.0
22,3,500,5.0
3,23,500,5.0
23,3,500,5.0
3,24,500,5.0
24,3,500,5.0
3,25,500,5.0
25,3,500,5.0
3,26,500,5.0
26,3,500,5.0
3,27,500,5.0
27,3,500,5.0
3,28,500,5.0
28,3,500,5.0
3,29,500,5.0
29,3,500,5.0
3,30,500,5.0
30,3,500,5.0
3,31,500,5.0
31,3,500,5.0
3,32,500,5.0
32,3,500,5.0
3,33,500,5.0
33,3,500,5.0
3,34,500,5.0
34,3,500,5.0
3,35,500,5.0
35,3,500,5.0
3,36,500,5.0
36,3,500,5.0
3,37,500,5.0
37,3,500,5.0
3,38,500,5.0
38,3,500,5.0
3,39,500,5.0
39,3,500,5.0
3,40,500,5.0
40,3,500,5.0
3,41,500,5.0
41,3,500,5.0
3,42,500,5.0
42,3,500,5.0
3,43,500,5.0
43,3,500,5.0
3,44,500,5.0
44,3,500,5.0
3,45,500,5.0
45,3,500,5.0
3,46,500,5.0
46,3,500,5.0
3,47,500,5.0
47,3,500,5.0
4,0,500,5.0
0,4,500,5.0
4,1,500,5.0
1,4,500,5.0
4,2,500,5.0
2,4,500,5.0
4,6,500,5.0
6,4,500,5.0
4,7,500,5.0
7,4,500,5.0
4,8,500,5.0
8,4,500,5.0
4,9,500,5.0
9,4,500,5.0
4,10,500,5.0
10,4,500,5.0
4,11,500,5.0
11,4,500,5.0
4,12,500,5.0
12,4,500,5.0
4,13,500,5.0
13,4,500,5.0
4,14,500,5.0
14,4,500,5.0
4,15,500,5.0
15,4,500,5.0
4,16,500,5.0
16,4,500,5.0
4,17,500,5.0
17,4,500,5.0
4,18,500,5.0
18,4,500,5.0
4,19,500,5.0
19,4,500,5.0
4,20,500,5.0
20,4,500,5.0
4,21,500,5.0
21,4,500,5.0
4,22,500,5.0
22,4,500,5.0
4,23,500,5.0
23,4,500,5.0
4,24,500,5.0
24,4,500,5.0
4,25,500,5.0
25,4,500,5.0
4,26,500,5.0
26,4,500,5.0
4,27,500,5.0
27,4,500,5.0
4,28,500,5.0
28,4,500,5.0
4,29,500,5.0
29,4,500,5.0
4,30,500,5.0
30,4,500,5.0
4,31,500,5.0
31,4,500,5.0
4,32,500,5.0
32,4,500,5.0
4,33,500,5.0
33,4,500,5.0
4,34,500,5.0
34,4,500,5.0
4,35,500,5.0
35,4,500,5.0
4,36,500,5.0
36,4,500,5.0
4,37,500,5.0
37,4,500,5.0
4,38,500,5.0
38,4,500,5.0
4,39,500,5.0
39,4,500,5.0
4,40,500,5.0
40,4,500,5.0
4,41,500,5.0
41,4,500,5.0
4,42,500,5.0
42,4,500,5.0
4,43,500,5.0
43,4,500,5.0
4,44,500,5.0
44,4,500,5.0
4,45,500,5.0
45,4,500,5.0
4,46,500,5.0
46,4,500,5.0
4,47,500,5.0
47,4,500,5.0
5,0,500,5.0
0,5,500,5.0
5,1,500,5.0
1,5,500,5.0
5,2,500,5.0
2,5,500,5.0
5,3,500,5.0
3,5,500,5.0
5,7,500,5.0
7,5,500,5.0
5,8,500,5.0
8,5,500,5.0
5,9,500,5.0
9,5,500,5.0
5,10,500,5.0
10,5,500,5.0
5,11,500,5.0
11,5,500,5.0
5,12,500,5.0
12,5,500,5.0
5,13,500,5.0
13,5,500,5.0
5,14,500,5.0
14,5,500,5.0
5,15,500,5.0
15,5,500,5.0
5,16,500,5.0
16,5,500,5.0
5,17,500,5.0
17,5,500,5.0
5,18,500,5.0
18,5,500,5.0
5,19,500,5.0
19,5,500,5.0
5,20,500,5.0
20,5,500,5.0
5,21,500,5.0
21,5,500,5.0
5,22,500,5.0
22,5,500,5.0
5,23,500,5.0
23,5,500,5.0
5,24,500,5.0
24,5,500,5.0
5,25,500,5.0
25,5,500,5.0
5,26,500,5.0
26,5,500,5.0
5,27,500,5.0
27,5,500,5.0
5,28,500,5.0
28,5,500,5.0
5,29,500,5.0
29,5,500,5.0
5,30,500,5.0
30,5,500,5.0
5,31,500,5.0
31,5,500,5.0
5,32,500,5.0
32,5,500,5.0
5,33,500,5.0
33,5,500,5.0
5,34,500,5.0
34,5,500,5.0
5,35,500,5.0
35,5,500,5.0
5,36,500,5.0
36,5,500,5.0
5,37,500,5.0
37,5,500,5.0
5,38,500,5.0
38,5,500,5.0
5,39,500,5.0
39,5,500,5.0
5,40,500,5.0
40,5,500,5.0
5,41,500,5.0
41,5,500,5.0
5,42,500,5.0
42,5,500,5.0
5,43,500,5.0
43,5,500,5.0
5,44,500,5.0
44,5,500,5.0
5,45,500,5.0
45,5,500,5.0
5,46,500,5.0
46,5,500,5.0
5,47,500,5.0
47,5,500,5.0
6,0,500,5.0
0,6,500,5.0
6,1,500,5.0
1,6,500,5.0
6,2,500,5.0
2,6,500,5.0
6,3,500,5.0
3,6,500,5.0
6,4,500,5.0
4,6,500,5.0
6,8,500,5.0
8,6,500,5.0
6,9,500,5.0
9,6,500,5.0
6,10,500,5.0
10,6,500,5.0
6,11,500,5.0
11,6,500,5.0
6,12,500,5.0
12,6,500,5.0
6,13,500,5.0
13,6,500,5.0
6,14,500,5.0
14,6,500,5.0
6,15,500,5.0
15,6,500,5.0
6,16,500,5.0
16,6,500,5.0
6,17,500,5.0
17,6,500,5.0
6,18,500,5.0
18,6,500,5.0
6,19,500,5.0
19,6,500,5.0
6,20,500,5.0
20,6,500,5.0
6,21,500,5.0
21,6,500,5.0
6,22,500,5.0
22,6,500,5.0
6,23,500,5.0
23,6,500,5.0
6,24,500,5.0
24,6,500,5.0
6,25,500,5.0
25,6,500,5.0
6,26,500,5.0
26,6,500,5.0
6,27,500,5.0
27,6,500,5.0
6,28,500,5.0
28,6,500,5.0
6,29,500,5.0
29,6,500,5.0
6,30,500,5.0
30,6,500,5.0
6,31,500,5.0
31,6,500,5.0
6,32,500,5.0
32,6,500,5.0
6,33,500,5.0
33,6,500,5.0
6,34,500,5.0
34,6,500,5.0
6,35,500,5.0
35,6,500,5.0
6,36,500,5.0
36,6,500,5.0
6,37,500,5.0
37,6,500,5.0
6,38,500,5.0
38,6,500,5.0
6,39,500,5.0
39,6,500,5.0
6,40,500,5.0
40,6,500,5.0
6,41,500,5.0
41,6,500,5.0
6,42,500,5.0
42,6,500,5.0
6,43,500,5.0
43,6,500,5.0
6,44,500,5.0
44,6,500,5.0
6,45,500,5.0
45,6,500,5.0
6,46,500,5.0
46,6,500,5.0
6,47,500,5.0
47,6,500,5.0
7,0,500,5.0
0,7,500,5.0
7,1,500,5.0
1,7,500,5.0
7,2,500,5.0
2,7,500,5.0
7,3,500,5.0
3,7,500,5.0
7,4,500,5.0
4,7,500,5.0
7,5,500,5.0
5,7,500,5.0
7,9,500,5.0
9,7,500,5.0
7,10,500,5.0
10,7,500,5.0
7,11,500,5.0
11,7,500,5.0
7,12,500,5.0
12,7,500,5.0
7,13,500,5.0
13,7,500,5.0
7,14,500,5.0
14,7,500,5.0
7,15,500,5.0
15,7,500,5.0
7,16,500,5.0
16,7,500,5.0
7,17,500,5.0
17,7,500,5.0
7,18,500,5.0
18,7,500,5.0
7,19,500,5.0
19,7,500,5.0
7,20,500,5.0
20,7,500,5.0
7,21,500,5.0
21,7,500,5.0
7,22,500,5.0
